participant,event_type,event_ts,event_ts_float,window_start,window_end,duration_sec,distance_px,start_x,start_y,end_x,end_y,delete_key,event_id
260808_WYX_W_AI,annotation,2026-08-08 15:33:48.444,1786174428.444,2026-08-08 15:33:38.444,2026-08-08 15:33:58.444,2.654,15.2,1189.5,551.1,1204.1,546.9,,133
260808_WYX_W_AI,annotation,2026-08-08 15:33:53.236,1786174433.236,2026-08-08 15:33:43.236,2026-08-08 15:34:03.236,2.226,80.4,1165.9,541.8,1245.9,534.6,,134
260808_WYX_W_AI,annotation,2026-08-08 15:33:55.703,1786174435.703,2026-08-08 15:33:45.703,2026-08-08 15:34:05.703,0.486,35.7,1147.6,534.9,1180.0,520.0,,135
260808_WYX_W_AI,annotation,2026-08-08 15:34:03.570,1786174443.57,2026-08-08 15:33:53.570,2026-08-08 15:34:13.570,1.224,15.3,1180.4,528.0,1167.3,535.9,,136
260808_WYX_W_AI,annotation,2026-08-08 15:34:06.345,1786174446.345,2026-08-08 15:33:56.345,2026-08-08 15:34:16.345,1.643,22.3,1225.1,550.9,1202.8,551.4,,137
260808_WYX_W_AI,annotation,2026-08-08 15:34:32.919,1786174472.919,2026-08-08 15:34:22.919,2026-08-08 15:34:42.919,1.498,21.9,1078.6,428.2,1056.8,427.4,,138
260808_WYX_W_AI,annotation,2026-08-08 15:34:35.828,1786174475.828,2026-08-08 15:34:25.828,2026-08-08 15:34:45.828,0.517,4.7,1077.2,423.6,1073.8,420.3,,139
260808_WYX_W_AI,annotation,2026-08-08 15:34:36.775,1786174476.775,2026-08-08 15:34:26.775,2026-08-08 15:34:46.775,0.828,5.4,1139.3,445.7,1138.3,451.0,,140
260808_WYX_W_AI,annotation,2026-08-08 15:35:14.077,1786174514.077,2026-08-08 15:35:04.077,2026-08-08 15:35:24.077,2.07,13.2,1045.4,517.8,1032.6,514.9,,141
260808_WYX_W_AI,annotation,2026-08-08 15:35:25.442,1786174525.442,2026-08-08 15:35:15.442,2026-08-08 15:35:35.442,0.806,0.6,1010.6,486.6,1010.2,486.1,,142
260808_WYX_W_AI,annotation,2026-08-08 15:35:32.587,1786174532.587,2026-08-08 15:35:22.587,2026-08-08 15:35:42.587,0.779,21.4,1009.3,471.6,987.9,472.1,,143
