order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
32,2026-08-08T18:49:00.670,1786186140.972,1386.972,2026-08-08T18:49:33.586,1786186173.6755,1419.675,32.704,509.0,358.3,22.3,89.35,3
33,2026-08-08T18:49:33.586,1786186173.6755,1419.675,2026-08-08T18:50:03.247,1786186203.3375,1449.338,29.662,336.4,374.9,16.6,32.7,2
34,2026-08-08T18:50:03.247,1786186203.3375,1449.338,2026-08-08T18:50:55.072,1786186255.1625,1501.162,51.825,331.0,392.8,17.9,29.66,2
35,2026-08-08T18:50:55.072,1786186255.1625,1501.162,2026-08-08T18:51:29.888,1786186289.9855,1535.986,34.823,533.5,415.6,22.8,51.82,2
36,2026-08-08T18:51:29.888,1786186289.9855,1535.986,2026-08-08T18:52:15.135,1786186335.2175,1581.217,45.232,427.9,435.6,20.0,34.82,2
37,2026-08-08T18:52:15.135,1786186335.2175,1581.217,2026-08-08T18:52:42.495,1786186362.5925,1608.592,27.375,513.3,449.1,13.5,45.23,2
38,2026-08-08T18:52:42.495,1786186362.5925,1608.592,2026-08-08T18:53:53.864,1786186434.0925,1680.092,71.5,382.3,470.7,21.6,27.38,2
39,2026-08-08T18:53:53.864,1786186434.0925,1680.092,2026-08-08T18:54:28.153,1786186468.446,1714.446,34.354,719.0,508.8,38.1,71.5,3
40,2026-08-08T18:54:28.153,1786186468.446,1714.446,2026-08-08T18:55:10.964,1786186511.0425,1757.043,42.596,742.7,526.3,17.5,34.35,3
41,2026-08-08T18:55:10.964,1786186511.0425,1757.043,2026-08-08T18:56:26.197,1786186586.279,1832.279,75.237,335.7,165.8,-360.5,42.6,2
42,2026-08-08T18:56:26.197,1786186586.279,1832.279,2026-08-08T18:59:43.458,1786186783.5405,2029.54,197.261,301.0,187.0,21.2,75.24,2
43,2026-08-08T18:59:43.458,1786186783.5405,2029.54,2026-08-08T19:00:12.610,1786186812.88,2058.88,29.34,318.1,222.8,35.8,197.26,2
44,2026-08-08T19:00:12.610,1786186812.88,2058.88,2026-08-08T19:01:03.610,1786186863.7,2109.7,50.82,844.7,245.4,22.6,29.34,3
45,2026-08-08T19:01:03.610,1786186863.7,2109.7,2026-08-08T19:03:21.534,1786187001.62,2247.62,137.92,618.8,261.2,15.8,50.82,2
46,2026-08-08T19:03:21.534,1786187001.62,2247.62,2026-08-08T19:03:53.183,1786187033.258,2279.258,31.638,384.5,282.8,21.6,137.92,2
47,2026-08-08T19:03:53.183,1786187033.258,2279.258,2026-08-08T19:04:34.749,1786187075.0525,2321.053,41.795,356.2,300.4,17.6,31.64,2
48,2026-08-08T19:04:34.749,1786187075.0525,2321.053,2026-08-08T19:07:04.645,1786187224.7225,2470.723,149.67,453.4,321.5,21.1,41.79,3
49,2026-08-08T19:07:04.645,1786187224.7225,2470.723,2026-08-08T19:08:55.813,1786187336.0785,2582.079,111.356,342.8,340.4,18.9,149.67,2
50,2026-08-08T19:08:55.813,1786187336.0785,2582.079,2026-08-08T19:11:04.496,1786187464.579,2710.579,128.5,378.2,377.1,36.7,111.36,3
51,2026-08-08T19:11:04.496,1786187464.579,2710.579,2026-08-08T19:11:38.883,1786187499.176,2745.176,34.597,732.4,392.4,15.3,128.5,2
52,2026-08-08T19:11:38.883,1786187499.176,2745.176,2026-08-08T19:13:12.588,1786187592.6785,2838.678,93.502,686.8,418.7,26.3,34.6,3
53,2026-08-08T19:13:12.588,1786187592.6785,2838.678,2026-08-08T19:13:46.217,1786187626.296,2872.296,33.618,754.0,435.1,16.4,93.5,2
54,2026-08-08T19:13:46.217,1786187626.296,2872.296,2026-08-08T19:15:33.101,1786187733.181,2979.181,106.885,859.1,454.5,19.4,33.62,4
55,2026-08-08T19:15:33.101,1786187733.181,2979.181,2026-08-08T19:16:43.916,1786187803.9915,3049.991,70.81,386.3,474.9,20.4,106.88,2
56,2026-08-08T19:16:43.916,1786187803.9915,3049.991,2026-08-08T19:17:58.323,1786187878.3945,3124.395,74.403,383.6,490.5,15.6,70.81,2
57,2026-08-08T19:17:58.323,1786187878.3945,3124.395,2026-08-08T19:18:38.950,1786187919.205,3165.205,40.81,360.5,505.5,15.0,74.4,2
58,2026-08-08T19:18:38.950,1786187919.205,3165.205,,,,,340.3,525.7,20.2,40.81,3
